"species" "gene" "start" "end" "IfEndIsOverlapped" "IfStartIsOverlapped"
"38558" "Acanthaluteres_brownii" "ATP8" 7938 8127 -31 76
"38559" "Acanthaluteres_brownii" "ATP6" 8096 8779 0 -31
"38560" "Acanthaluteres_brownii" "COX3" 8779 9564 72 0
"38561" "Acanthaluteres_brownii" "ND3" 9636 9985 69 72
"38562" "Acanthaluteres_brownii" "ND4L" 10054 10351 -7 69
"38563" "Acanthaluteres_brownii" "ND4" 10344 11725 215 -7
"38564" "Acanthaluteres_brownii" "ND5" 11940 13779 -4 215
"38565" "Acanthaluteres_brownii" "ND6" 13775 14297 74 -4
"38566" "Acanthaluteres_brownii" "CytB" 14371 15512 34488 74
"11538" "Acanthis_flammea" "ND1" 2801 3779 221 2801
"11539" "Acanthis_flammea" "ND2" 4000 5040 359 221
"11540" "Acanthis_flammea" "COX1" 5399 6950 148 359
"11541" "Acanthis_flammea" "COX2" 7098 7782 71 148
"11542" "Acanthis_flammea" "ATP8" 7853 8021 -10 71
"11543" "Acanthis_flammea" "ATP6" 8011 8695 7 -10
"11544" "Acanthis_flammea" "COX3" 8702 9486 69 7
"11545" "Acanthis_flammea" "ND3" 9555 9906 72 69
"11546" "Acanthis_flammea" "ND4L" 9978 10275 -7 72
"11547" "Acanthis_flammea" "ND4" 10268 11646 206 -7
"11548" "Acanthis_flammea" "ND5" 11852 13670 8 206
"11549" "Acanthis_flammea" "CytB" 13678 14821 166 8
"11550" "Acanthis_flammea" "ND6" 14987 15506 34494 166
"31860" "Acanthogobius_hasta" "ND1" 2843 3818 211 2843
"31861" "Acanthogobius_hasta" "ND2" 4029 5076 392 211
"31862" "Acanthogobius_hasta" "COX1" 5468 7028 142 392
"31863" "Acanthogobius_hasta" "COX2" 7170 7869 69 142
"31864" "Acanthogobius_hasta" "ATP8" 7938 8106 -10 69
"31865" "Acanthogobius_hasta" "ATP6" 8096 8780 -1 -10
"31866" "Acanthogobius_hasta" "COX3" 8779 9564 71 -1
"31867" "Acanthogobius_hasta" "ND3" 9635 9986 67 71
"31868" "Acanthogobius_hasta" "ND4L" 10053 10350 -7 67
"31869" "Acanthogobius_hasta" "ND4" 10343 11724 215 -7
"31870" "Acanthogobius_hasta" "ND5" 11939 13781 -8 215
"31871" "Acanthogobius_hasta" "ND6" 13773 14295 73 -8
"31872" "Acanthogobius_hasta" "CytB" 14368 15509 34491 73
"1261" "Acanthopagrus_latus" "ND1" 2860 3835 213 2860
"1262" "Acanthopagrus_latus" "ND2" 4048 5094 384 213
"1263" "Acanthopagrus_latus" "COX1" 5478 7044 142 384
"1264" "Acanthopagrus_latus" "COX2" 7186 7877 75 142
"1265" "Acanthopagrus_latus" "ATP8" 7952 8117 -7 75
"1266" "Acanthopagrus_latus" "ATP6" 8110 8794 -1 -7
"1267" "Acanthopagrus_latus" "COX3" 8793 9578 72 -1
"1268" "Acanthopagrus_latus" "ND3" 9650 9999 72 72
"1269" "Acanthopagrus_latus" "ND4L" 10071 10368 -7 72
"1270" "Acanthopagrus_latus" "ND4" 10361 11742 232 -7
"1271" "Acanthopagrus_latus" "ND5" 11974 13813 -4 232
"1272" "Acanthopagrus_latus" "ND6" 13809 14331 73 -4
"1273" "Acanthopagrus_latus" "CytB" 14404 15524 34476 73
"14643" "Acanthopagrus_schlegelii" "ND1" 2867 3842 213 2867
"14644" "Acanthopagrus_schlegelii" "ND2" 4055 5101 382 213
"14645" "Acanthopagrus_schlegelii" "COX1" 5483 7049 142 382
"14646" "Acanthopagrus_schlegelii" "COX2" 7191 7882 75 142
"14647" "Acanthopagrus_schlegelii" "ATP8" 7957 8122 -7 75
"14648" "Acanthopagrus_schlegelii" "ATP6" 8115 8799 -1 -7
"14649" "Acanthopagrus_schlegelii" "COX3" 8798 9583 72 -1
"14650" "Acanthopagrus_schlegelii" "ND3" 9655 10004 72 72
"14651" "Acanthopagrus_schlegelii" "ND4L" 10076 10373 -7 72
"14652" "Acanthopagrus_schlegelii" "ND4" 10366 11747 244 -7
"14653" "Acanthopagrus_schlegelii" "ND5" 11991 13830 -4 244
"14654" "Acanthopagrus_schlegelii" "ND6" 13826 14348 73 -4
"14655" "Acanthopagrus_schlegelii" "CytB" 14421 15562 34438 73
"15280" "Acanthorhodeus_chankaensis" "ND1" 2855 3830 215 2855
"15281" "Acanthorhodeus_chankaensis" "ND2" 4045 5090 384 215
"15282" "Acanthorhodeus_chankaensis" "COX1" 5474 7025 151 384
"15283" "Acanthorhodeus_chankaensis" "COX2" 7176 7867 76 151
"15284" "Acanthorhodeus_chankaensis" "ATP8" 7943 8108 -7 76
"15285" "Acanthorhodeus_chankaensis" "ATP6" 8101 8785 -1 -7
"15286" "Acanthorhodeus_chankaensis" "COX3" 8784 9568 71 -1
"15287" "Acanthorhodeus_chankaensis" "ND3" 9639 9988 70 71
"15288" "Acanthorhodeus_chankaensis" "ND4L" 10058 10355 -7 70
"15289" "Acanthorhodeus_chankaensis" "ND4" 10348 11730 211 -7
"15290" "Acanthorhodeus_chankaensis" "ND5" 11941 13777 -4 211
"15291" "Acanthorhodeus_chankaensis" "ND6" 13773 14295 71 -4
"15292" "Acanthorhodeus_chankaensis" "CytB" 14366 15507 34493 71
"45889" "Acanthorhodeus_gracilis" "ND1" 3061 4036 215 3061
"45890" "Acanthorhodeus_gracilis" "ND2" 4251 5296 384 215
"45891" "Acanthorhodeus_gracilis" "COX1" 5680 7231 151 384
"45892" "Acanthorhodeus_gracilis" "COX2" 7382 8073 77 151
"45893" "Acanthorhodeus_gracilis" "ATP8" 8150 8315 -7 77
"45894" "Acanthorhodeus_gracilis" "ATP6" 8308 8992 -1 -7
"45895" "Acanthorhodeus_gracilis" "COX3" 8991 9775 71 -1
"45896" "Acanthorhodeus_gracilis" "ND3" 9846 10195 69 71
"45897" "Acanthorhodeus_gracilis" "ND4L" 10264 10561 -7 69
"45898" "Acanthorhodeus_gracilis" "ND4" 10554 11936 212 -7
"45899" "Acanthorhodeus_gracilis" "ND5" 12148 13984 -4 212
"45900" "Acanthorhodeus_gracilis" "ND6" 13980 14502 71 -4
"45901" "Acanthorhodeus_gracilis" "CytB" 14573 15714 34286 71
"40804" "Acanthurus_leucosternon" "ND1" 2853 3828 213 2853
"40805" "Acanthurus_leucosternon" "ND2" 4041 5087 389 213
"40806" "Acanthurus_leucosternon" "COX1" 5476 7026 161 389
"40807" "Acanthurus_leucosternon" "COX2" 7187 7878 77 161
"40808" "Acanthurus_leucosternon" "ATP8" 7955 8123 -10 77
"40809" "Acanthurus_leucosternon" "ATP6" 8113 8796 0 -10
"40810" "Acanthurus_leucosternon" "COX3" 8796 9581 73 0
"40811" "Acanthurus_leucosternon" "ND3" 9654 10000 70 73
"40812" "Acanthurus_leucosternon" "ND4L" 10070 10367 -7 70
"40813" "Acanthurus_leucosternon" "ND4" 10360 11741 217 -7
"40814" "Acanthurus_leucosternon" "ND5" 11958 13806 -4 217
"40815" "Acanthurus_leucosternon" "ND6" 13802 14324 73 -4
"40816" "Acanthurus_leucosternon" "CytB" 14397 15538 34462 73
"41298" "Acanthurus_lineatus" "ND1" 2853 3828 213 2853
"41299" "Acanthurus_lineatus" "ND2" 4041 5087 387 213
"41300" "Acanthurus_lineatus" "COX1" 5474 7024 161 387
"41301" "Acanthurus_lineatus" "COX2" 7185 7876 77 161
"41302" "Acanthurus_lineatus" "ATP8" 7953 8121 -10 77
"41303" "Acanthurus_lineatus" "ATP6" 8111 8794 0 -10
"41304" "Acanthurus_lineatus" "COX3" 8794 9579 73 0
"41305" "Acanthurus_lineatus" "ND3" 9652 9998 70 73
"41306" "Acanthurus_lineatus" "ND4L" 10068 10365 -7 70
"41307" "Acanthurus_lineatus" "ND4" 10358 11739 219 -7
"41308" "Acanthurus_lineatus" "ND5" 11958 13806 -4 219
"41309" "Acanthurus_lineatus" "ND6" 13802 14324 74 -4
"41310" "Acanthurus_lineatus" "CytB" 14398 15539 34461 74
"36669" "Acantopsis_choirorhynchos" "ND1" 2860 3835 219 2860
"36670" "Acantopsis_choirorhynchos" "ND2" 4054 5101 383 219
"36671" "Acantopsis_choirorhynchos" "COX1" 5484 7035 159 383
"36672" "Acantopsis_choirorhynchos" "COX2" 7194 7885 76 159
"36673" "Acantopsis_choirorhynchos" "ATP8" 7961 8129 -10 76
"36674" "Acantopsis_choirorhynchos" "ATP6" 8119 8803 -1 -10
"36675" "Acantopsis_choirorhynchos" "COX3" 8802 9588 72 -1
"36676" "Acantopsis_choirorhynchos" "ND3" 9660 10011 69 72
"36677" "Acantopsis_choirorhynchos" "ND4L" 10080 10377 -7 69
"36678" "Acantopsis_choirorhynchos" "ND4" 10370 11753 211 -7
"36679" "Acantopsis_choirorhynchos" "ND5" 11964 13803 -4 211
"36680" "Acantopsis_choirorhynchos" "ND6" 13799 14321 74 -4
"36681" "Acantopsis_choirorhynchos" "CytB" 14395 15536 34464 74
"2547" "Accipiter_gentilis" "CytB" 0 1143 2123 0
"2548" "Accipiter_gentilis" "ND6" 3266 3785 3607 2123
"2549" "Accipiter_gentilis" "ND1" 7392 8367 228 3607
"2550" "Accipiter_gentilis" "ND2" 8595 9636 357 228
"2551" "Accipiter_gentilis" "COX1" 9993 11544 139 357
"2552" "Accipiter_gentilis" "COX2" 11683 12367 73 139
"2553" "Accipiter_gentilis" "ATP8" 12440 12608 -10 73
"2554" "Accipiter_gentilis" "ATP6" 12598 13282 -1 -10
"2555" "Accipiter_gentilis" "COX3" 13281 14065 69 -1
"2556" "Accipiter_gentilis" "ND3" 14134 14485 74 69
"2557" "Accipiter_gentilis" "ND4L" 14559 14856 -7 74
"2558" "Accipiter_gentilis" "ND4" 14849 16227 208 -7
"2559" "Accipiter_gentilis" "ND5" 16435 18253 31747 208
"28129" "Accipiter_nisus" "ND1" 2797 3772 224 2797
"28130" "Accipiter_nisus" "ND2" 3996 5037 356 224
"28131" "Accipiter_nisus" "COX1" 5393 6944 140 356
"28132" "Accipiter_nisus" "COX2" 7084 7768 73 140
"28133" "Accipiter_nisus" "ATP8" 7841 8009 -10 73
"28134" "Accipiter_nisus" "ATP6" 7999 8683 -1 -10
"28135" "Accipiter_nisus" "COX3" 8682 9466 69 -1
"28136" "Accipiter_nisus" "ND3" 9535 9887 73 69
"28137" "Accipiter_nisus" "ND4L" 9960 10257 -7 73
"28138" "Accipiter_nisus" "ND4" 10250 11628 207 -7
"28139" "Accipiter_nisus" "ND5" 11835 13653 10 207
"28140" "Accipiter_nisus" "CytB" 13663 14807 2488 10
"28141" "Accipiter_nisus" "ND6" 17295 17814 32186 2488
"38152" "Accipiter_virgatus" "ND1" 2794 3769 228 2794
"38153" "Accipiter_virgatus" "ND2" 3997 5036 361 228
"38154" "Accipiter_virgatus" "COX1" 5397 6948 139 361
"38155" "Accipiter_virgatus" "COX2" 7087 7771 71 139
"38156" "Accipiter_virgatus" "ATP8" 7842 8010 -10 71
"38157" "Accipiter_virgatus" "ATP6" 8000 8684 -1 -10
"38158" "Accipiter_virgatus" "COX3" 8683 9467 69 -1
"38159" "Accipiter_virgatus" "ND3" 9536 9887 74 69
"38160" "Accipiter_virgatus" "ND4L" 9961 10258 -7 74
"38161" "Accipiter_virgatus" "ND4" 10251 11629 207 -7
"38162" "Accipiter_virgatus" "ND5" 11836 13654 10 207
"38163" "Accipiter_virgatus" "CytB" 13664 14807 1460 10
"38164" "Accipiter_virgatus" "ND6" 16267 16786 33214 1460
"48295" "Acentrogobius_chlorostigmatoides" "ND1" 2846 3821 212 2846
"48296" "Acentrogobius_chlorostigmatoides" "ND2" 4033 5080 393 212
"48297" "Acentrogobius_chlorostigmatoides" "COX1" 5473 7027 150 393
"48298" "Acentrogobius_chlorostigmatoides" "COX2" 7177 7868 77 150
"48299" "Acentrogobius_chlorostigmatoides" "ATP8" 7945 8113 -10 77
"48300" "Acentrogobius_chlorostigmatoides" "ATP6" 8103 8787 2 -10
"48301" "Acentrogobius_chlorostigmatoides" "COX3" 8789 9573 71 2
"48302" "Acentrogobius_chlorostigmatoides" "ND3" 9644 9995 73 71
"48303" "Acentrogobius_chlorostigmatoides" "ND4L" 10068 10365 -7 73
"48304" "Acentrogobius_chlorostigmatoides" "ND4" 10358 11739 211 -7
"48305" "Acentrogobius_chlorostigmatoides" "ND5" 11950 13789 -4 211
"48306" "Acentrogobius_chlorostigmatoides" "ND6" 13785 14307 74 -4
"48307" "Acentrogobius_chlorostigmatoides" "CytB" 14381 15522 34478 74
"37775" "Acentrogobius_pflaumii" "ND1" 2835 3810 213 2835
"37776" "Acentrogobius_pflaumii" "ND2" 4023 5068 387 213
"37777" "Acentrogobius_pflaumii" "COX1" 5455 7006 150 387
"37778" "Acentrogobius_pflaumii" "COX2" 7156 7847 77 150
"37779" "Acentrogobius_pflaumii" "ATP8" 7924 8092 -10 77
"37780" "Acentrogobius_pflaumii" "ATP6" 8082 8766 3 -10
"37781" "Acentrogobius_pflaumii" "COX3" 8769 9553 70 3
"37782" "Acentrogobius_pflaumii" "ND3" 9623 9974 88 70
"37783" "Acentrogobius_pflaumii" "ND4L" 10062 10359 -7 88
"37784" "Acentrogobius_pflaumii" "ND4" 10352 11733 212 -7
"37785" "Acentrogobius_pflaumii" "ND5" 11945 13783 -3 212
"37786" "Acentrogobius_pflaumii" "ND6" 13780 14302 74 -3
"37787" "Acentrogobius_pflaumii" "CytB" 14376 15517 34483 74
"45615" "Acestrorhynchus_sp._NM-2010" "ND1" 2864 3839 215 2864
"45616" "Acestrorhynchus_sp._NM-2010" "ND2" 4054 5100 393 215
"45617" "Acestrorhynchus_sp._NM-2010" "COX1" 5493 7074 126 393
"45618" "Acestrorhynchus_sp._NM-2010" "COX2" 7200 7891 75 126
"45619" "Acestrorhynchus_sp._NM-2010" "ATP8" 7966 8134 -10 75
"45620" "Acestrorhynchus_sp._NM-2010" "ATP6" 8124 8807 0 -10
"45621" "Acestrorhynchus_sp._NM-2010" "COX3" 8807 9591 73 0
"45622" "Acestrorhynchus_sp._NM-2010" "ND3" 9664 10013 70 73
"45623" "Acestrorhynchus_sp._NM-2010" "ND4L" 10083 10380 -7 70
"45624" "Acestrorhynchus_sp._NM-2010" "ND4" 10373 11754 212 -7
"45625" "Acestrorhynchus_sp._NM-2010" "ND5" 11966 13802 -4 212
"45626" "Acestrorhynchus_sp._NM-2010" "ND6" 13798 14317 94 -4
"45627" "Acestrorhynchus_sp._NM-2010" "CytB" 14411 15552 34448 94
"43207" "Achalinus_meiguensis" "ND1" 2544 3493 1332 2544
"43208" "Achalinus_meiguensis" "ND2" 4825 5849 360 1332
"43209" "Achalinus_meiguensis" "COX1" 6209 7811 124 360
"43210" "Achalinus_meiguensis" "COX2" 7935 8622 63 124
"43211" "Achalinus_meiguensis" "ATP8" 8685 8853 -10 63
"43212" "Achalinus_meiguensis" "ATP6" 8843 9518 -1 -10
"43213" "Achalinus_meiguensis" "COX3" 9517 10301 60 -1
"43214" "Achalinus_meiguensis" "ND3" 10361 10704 64 60
"43215" "Achalinus_meiguensis" "ND4L" 10768 11059 -1 64
"43216" "Achalinus_meiguensis" "ND4" 11058 12411 192 -1
"43217" "Achalinus_meiguensis" "ND5" 12603 14352 -5 192
"43218" "Achalinus_meiguensis" "ND6" 14347 14851 72 -5
"43219" "Achalinus_meiguensis" "CytB" 14923 16040 33960 72
"45392" "Acheilognathus_barbatus" "ND1" 2858 3833 215 2858
"45393" "Acheilognathus_barbatus" "ND2" 4048 5093 385 215
"45394" "Acheilognathus_barbatus" "COX1" 5478 7029 152 385
"45395" "Acheilognathus_barbatus" "COX2" 7181 7872 77 152
"45396" "Acheilognathus_barbatus" "ATP8" 7949 8114 -7 77
"45397" "Acheilognathus_barbatus" "ATP6" 8107 8791 -1 -7
"45398" "Acheilognathus_barbatus" "COX3" 8790 9574 71 -1
"45399" "Acheilognathus_barbatus" "ND3" 9645 9994 69 71
"45400" "Acheilognathus_barbatus" "ND4L" 10063 10360 -7 69
"45401" "Acheilognathus_barbatus" "ND4" 10353 11735 211 -7
"45402" "Acheilognathus_barbatus" "ND5" 11946 13782 -4 211
"45403" "Acheilognathus_barbatus" "ND6" 13778 14300 71 -4
"45404" "Acheilognathus_barbatus" "CytB" 14371 15512 34488 71
"39763" "Acheilognathus_intermedia" "ND1" 2856 3828 215 2856
"39764" "Acheilognathus_intermedia" "ND2" 4043 5088 385 215
"39765" "Acheilognathus_intermedia" "COX1" 5473 7024 150 385
"39766" "Acheilognathus_intermedia" "COX2" 7174 7865 77 150
"39767" "Acheilognathus_intermedia" "ATP8" 7942 8107 -7 77
"39768" "Acheilognathus_intermedia" "ATP6" 8100 8784 -1 -7
"39769" "Acheilognathus_intermedia" "COX3" 8783 9567 71 -1
"39770" "Acheilognathus_intermedia" "ND3" 9638 9987 70 71
"39771" "Acheilognathus_intermedia" "ND4L" 10057 10354 -7 70
"39772" "Acheilognathus_intermedia" "ND4" 10347 11729 212 -7
"39773" "Acheilognathus_intermedia" "ND5" 11941 13777 -4 212
"39774" "Acheilognathus_intermedia" "ND6" 13773 14295 74 -4
"39775" "Acheilognathus_intermedia" "CytB" 14369 15510 34490 74
"15995" "Acheilognathus_macropterus" "ND1" 2855 3830 215 2855
"15996" "Acheilognathus_macropterus" "ND2" 4045 5090 384 215
"15997" "Acheilognathus_macropterus" "COX1" 5474 7025 151 384
"15998" "Acheilognathus_macropterus" "COX2" 7176 7867 76 151
"15999" "Acheilognathus_macropterus" "ATP8" 7943 8108 -7 76
"16000" "Acheilognathus_macropterus" "ATP6" 8101 8785 -1 -7
"16001" "Acheilognathus_macropterus" "COX3" 8784 9568 71 -1
"16002" "Acheilognathus_macropterus" "ND3" 9639 9988 70 71
"16003" "Acheilognathus_macropterus" "ND4L" 10058 10355 -7 70
"16004" "Acheilognathus_macropterus" "ND4" 10348 11730 211 -7
"16005" "Acheilognathus_macropterus" "ND5" 11941 13777 -4 211
"16006" "Acheilognathus_macropterus" "ND6" 13773 14295 71 -4
"16007" "Acheilognathus_macropterus" "CytB" 14366 15507 34493 71
"15956" "Acheilognathus_rhombeus" "ND1" 2856 3831 215 2856
"15957" "Acheilognathus_rhombeus" "ND2" 4046 5091 384 215
"15958" "Acheilognathus_rhombeus" "COX1" 5475 7026 151 384
"15959" "Acheilognathus_rhombeus" "COX2" 7177 7868 77 151
"15960" "Acheilognathus_rhombeus" "ATP8" 7945 8110 -7 77
"15961" "Acheilognathus_rhombeus" "ATP6" 8103 8787 -1 -7
"15962" "Acheilognathus_rhombeus" "COX3" 8786 9570 71 -1
"15963" "Acheilognathus_rhombeus" "ND3" 9641 9990 69 71
"15964" "Acheilognathus_rhombeus" "ND4L" 10059 10356 -7 69
"15965" "Acheilognathus_rhombeus" "ND4" 10349 11731 212 -7
"15966" "Acheilognathus_rhombeus" "ND5" 11943 13779 -4 212
"15967" "Acheilognathus_rhombeus" "ND6" 13775 14297 71 -4
"15968" "Acheilognathus_rhombeus" "CytB" 14368 15509 34491 71
"16099" "Acheilognathus_signifer" "ND1" 2858 3830 215 2858
"16100" "Acheilognathus_signifer" "ND2" 4045 5090 384 215
"16101" "Acheilognathus_signifer" "COX1" 5474 7025 151 384
"16102" "Acheilognathus_signifer" "COX2" 7176 7867 77 151
"16103" "Acheilognathus_signifer" "ATP8" 7944 8109 -7 77
"16104" "Acheilognathus_signifer" "ATP6" 8102 8786 -1 -7
"16105" "Acheilognathus_signifer" "COX3" 8785 9570 71 -1
"16106" "Acheilognathus_signifer" "ND3" 9641 9990 70 71
"16107" "Acheilognathus_signifer" "ND4L" 10060 10357 -7 70
"16108" "Acheilognathus_signifer" "ND4" 10350 11732 212 -7
"16109" "Acheilognathus_signifer" "ND5" 11944 13777 -4 212
"16110" "Acheilognathus_signifer" "ND6" 13773 14295 74 -4
"16111" "Acheilognathus_signifer" "CytB" 14369 15510 34490 74
"41246" "Acheilognathus_somjinensis" "ND1" 2856 3831 215 2856
"41247" "Acheilognathus_somjinensis" "ND2" 4046 5092 385 215
"41248" "Acheilognathus_somjinensis" "COX1" 5477 7028 151 385
"41249" "Acheilognathus_somjinensis" "COX2" 7179 7870 77 151
"41250" "Acheilognathus_somjinensis" "ATP8" 7947 8112 -7 77
"41251" "Acheilognathus_somjinensis" "ATP6" 8105 8789 -1 -7
"41252" "Acheilognathus_somjinensis" "COX3" 8788 9572 71 -1
"41253" "Acheilognathus_somjinensis" "ND3" 9643 9992 70 71
"41254" "Acheilognathus_somjinensis" "ND4L" 10062 10359 -7 70
"41255" "Acheilognathus_somjinensis" "ND4" 10352 11734 212 -7
"41256" "Acheilognathus_somjinensis" "ND5" 11946 13782 -4 212
"41257" "Acheilognathus_somjinensis" "ND6" 13778 14300 74 -4
